name,anime_count_score,shared_10s_score,global_user_mean_diff_score,user_mean_diff_score,pearson_score,final_score
eruditious,59.24120625847516,22.5,-1.311432881424338,-3.0286806883365216,36.50573530752862,113.90682799624292
Raiders34,40.06006638487664,11.25,-5.0,-6.307947019867555,73.64632633587729,113.64844570088638
InstantRamenKing,29.916438555639377,15.0,-5.0,-3.8967136150234722,77.36208675408689,113.38181169470279
Ralon17,48.45101084800572,18.75,-0.22087180086478497,-5.134366925064597,51.503873220368796,113.34964534244514
BePee,48.17642919320219,22.5,-3.1257851758794004,-1.8385416666666714,47.52993076428741,113.24203311494352
Deafness,55.190991861111456,26.25,-2.038726824701669,-6.316916488222695,40.117828740923805,113.2031772891109
Kazaseno,51.53784883733996,18.75,-2.0586939436519174,-6.7654028436018905,51.16232570948908,112.62607775957524
Sakasan88,50.937666556321176,22.5,-1.154023127686628,-10.0,49.860951567545186,112.14459499617973
Shakiso,41.21732498843147,11.25,-3.3559169650167746,-3.3546325878594274,66.28312933460442,112.0399047701597
CypherHitagi,38.773402721837826,18.75,-4.303586900017336,-6.586206896551715,65.2619561328178,111.89556505808658
Halston,57.85783085191976,15.0,-0.9994805039112151,-6.280318091451292,46.306051460352165,111.88408371690942
Venucurius,45.8268726049058,15.0,-2.131269159166308,-10.0,63.14648475041021,111.8420881961497
Cryzzalis,44.56178916611954,22.5,-2.4908502047811396,-3.598265895953759,50.570306228202824,111.54297929358746
Caroline32,58.76500376328879,18.75,-2.7151747107631223,-1.5116279069767415,38.1633814200964,111.45158256564532
Duwangel,46.68533892376453,18.75,-1.5836656106620097,-6.127717391304344,53.718046584018076,111.44200250581625
nflstreet,20.828284025845303,26.25,-5.0,-2.676056338028161,71.95597292793201,111.35820061574915
planta,34.76190036785687,18.75,-2.3125469869030155,-0.06692913385828092,60.10515508711015,111.23757933420572
Rudeous,53.53038259810358,18.75,-0.6559140996462105,-7.58968609865471,47.19148300225115,111.22626540205381
Clem,32.78857996242203,22.5,-5.0,-5.059071729957807,65.97986473605721,111.20937296852142
Platypus900,42.35336498649023,15.0,-2.0551833240275528,-10.0,65.77860428547109,111.07678594793376
SoulKing,39.527025331857146,18.75,-5.0,-7.0976430976431,64.860922362236,111.04030459645004
Hejsan,30.885042088630968,22.5,-5.0,-3.235294117647058,65.7494393672565,110.89918733824041
AquaHaze,51.023932963309,18.75,-0.8180928681870938,-0.6850961538461462,42.24453674212623,110.51528068340198
AreQ,59.77491605898524,7.5,-1.3411218048812827,-0.12052730696798619,44.53198425928781,110.34525120642378
RaphaFGL,50.677815173101685,18.75,-1.309947797238621,-4.11165048543689,46.33813667496728,110.34435356539345
EatYourFrutz,26.437944560664498,15.0,-5.0,-3.2756756756756715,77.1588544972192,110.32112338220801
weirdy8,62.45132358444231,22.5,-1.0498923187365392,-10.0,36.22409607411326,110.12552733981903
LordGwyn,33.95549428466137,15.0,-5.0,-4.307692307692307,70.21413894062978,109.86194091759884
Kaisura,46.590655218728685,18.75,-2.469705475606915,-8.324250681198919,55.313449875553516,109.86014893747637
Hrick,50.41638554649819,18.75,-2.6784288189111862,-2.3227383863080675,45.634946702120175,109.80016504339912
Patuah,55.34511183560705,18.75,-1.7481865618069037,-4.0788912579957355,41.39079728782911,109.65883130363352
animejas,62.334029288906834,15.0,-1.9926995115437336,-10.0,44.28869452183259,109.6300242991957
Hofumi,44.06732739582017,15.0,-3.063926671480573,-4.648093841642229,58.14582691032223,109.50113379301959
Mmvrk,42.35336498649023,11.25,-3.6601215956324893,-5.385802469135797,64.55948151290733,109.11692243462926
Shnikees,34.30214905400116,15.0,-5.0,-5.680000000000007,70.45203956960222,109.07418862360338
PixelVapour,42.14839050295447,15.0,-3.2238053622148044,-0.5124223602484506,55.22083091424436,108.63299369473557
Morimasa,41.73633721137092,18.75,-1.7529471255649298,-4.742138364779876,54.49055706174413,108.48180878277024
michhoffman,47.343214768487535,22.5,-3.7270351758793936,-10.0,52.10568841367866,108.22186800628681
Tzuk,37.12956266689919,18.75,-4.0615806304248565,-1.654545454545456,57.99929863288088,108.16273521480976
Caioviski,32.435086138418214,22.5,-0.4454967143409334,-0.8717948717948758,54.50983947350581,108.12763402578821
Abiir,30.402143205143176,15.0,-3.4807678947734075,-4.21658986175116,70.20428349600078,107.90906894461939
LegacyHeart,39.74076783419294,15.0,-3.5809482193576656,-2.8929765886287555,59.52986601006872,107.79670903627525
Ougi01,36.90740286651537,11.25,-2.835606604450831,-1.490842490842482,63.92135329139434,107.7523070626164
Aetrnum,41.52925840332315,15.0,-5.0,-6.0126582278480925,62.13721058653142,107.65381076200647
Leeroyek,39.20509637553344,22.5,-2.3594161282603494,-3.0782312925170032,51.226288602040036,107.49373755679612
Chrode,54.880647587608266,15.0,-1.2126507266353457,-10.0,48.81663130543312,107.48462816640604
KuroKatana,27.445828817880226,18.75,-3.375947092977853,-7.134715025906729,71.68608305204188,107.37124975103752
codoms,34.8763997953808,15.0,-5.0,-8.635294117647064,71.11658603112087,107.35769170885462
Tomicida,49.17551273760447,18.75,-0.4450098594237062,-10.0,49.74081576617719,107.22131864435795
Turkey,56.40431129496414,15.0,-1.0757722359208088,-2.784679089026916,39.498520256340676,107.0423802263571
Zoharrr,26.437944560664498,15.0,-5.0,-0.7027027027026946,71.30709317466626,107.04233503262807
Magenta,24.776195951364862,22.5,-2.976802617739864,-5.029069767441861,67.71616138227445,106.98648494845759
alkasul,39.847376044796846,18.75,-4.973701842546063,-7.033333333333331,60.207896666086164,106.79823753500361
FeLIpeOrder435,52.12943845993472,18.75,-1.1972449660891868,-6.906759906759916,43.85352733801033,106.62896092509595
Azukano,52.71243542410545,18.75,-1.349695726338112,-3.422018348623851,39.78555545138474,106.47627680052823
Fedidotaku,33.490832880277644,22.5,-1.530491966002856,-10.0,61.89090203092298,106.35124294519777
higui,27.1949099158323,3.75,-1.39401194453945,-2.72251308900524,79.39191941752128,106.22030429980889
OugiOshino,35.332643901716494,18.75,-5.0,-5.447876447876439,62.428756560175515,106.06352401401557
MaximalDisguised,55.954577318549404,7.5,-0.2330309830072821,-5.880503144654085,48.66485655386148,106.00589974474951
kuba335,42.25096542491035,15.0,-4.441090903433576,-2.2755417956656316,55.43971526688407,105.9740479926952
HiroQianying,41.21732498843147,18.75,-1.9661406071893026,-4.977635782747605,52.937209455984956,105.96075805447953
Mishali141,32.78857996242203,18.75,-4.149651209634669,-8.016877637130804,66.57822940043124,105.95028051608779
TACHYONx,48.905139731824946,11.25,-0.335606604450831,-4.8954081632653015,50.91360522535983,105.83773018946864
aesturias,17.83284247872528,11.25,-5.0,-1.1416666666666657,82.66414525877423,105.60532107083284
TheRulGr,44.26563818506793,15.0,-3.0834200155295406,-8.45481049562683,57.81484009830797,105.54224777221953
Donnerkreuz,27.320457047044265,7.5,-5.0,-3.302083333333343,78.93235357163564,105.45072728534657
kuso123,22.953477414901137,11.25,-5.0,-0.5379746835443058,76.78515331918348,105.45065605054032
SlowAnimeWatcher,31.48472008453069,22.5,-3.1105749988882536,-8.274336283185832,62.68410157580654,105.28391037826314
Kurugatari,39.41989104012524,18.75,-2.06581895966319,-1.8547297297297334,51.02361933380188,105.27296168453421
Markado,25.418837239384732,18.75,-5.0,-3.531073446327696,69.54735128948197,105.185115082539
muskp19,34.99072386252872,11.25,-4.4929726758794,-0.92578125,64.25753830478577,105.0795082414351
Northlane,45.14935639807075,22.5,-4.787716994061213,-9.289772727272734,51.388174836004616,104.96004151274141
Laevatein,49.71152401901152,15.0,-2.479354377874415,-7.169576059850378,49.77176425840493,104.83435783969165
8yer,29.0597040445317,15.0,-3.9798507098599885,-6.067961165048544,70.77435694884245,104.78624911846562
MADSCIENTIST001,30.885042088630968,22.5,-5.0,-2.2398190045248754,58.578891978206144,104.72411506231224
LASERBOY,41.73633721137092,15.0,-0.03950570462374259,-10.0,58.008293221988815,104.705124728736
renxx,27.320457047044265,15.0,-1.3289101758794004,-1.9270833333333286,65.60615214468385,104.67061568251538
Merek,34.647225579956945,11.25,-1.387272330029603,-1.7984189723320227,61.95096813821443,104.66250241580974
SassaFrassy,32.435086138418214,18.75,-4.31301808186231,-5.948717948717942,63.68242748543276,104.60577759327072
Cold,24.25892643418095,18.75,-5.0,-7.55952380952381,73.93463114734202,104.38403377199916
Scipio,18.108662554165296,18.75,-5.0,-6.21311475409837,78.62203719991655,104.26758499998347
TheGentleViking,37.35102102577902,18.75,-3.518948533280124,-5.667870036101078,57.24807535727053,104.16227781366834
BallisticRiot,40.06006638487664,18.75,-3.277896103031722,-1.374172185430453,49.999948692790504,104.15794678920497
Corwinr,52.62967622463763,15.0,-0.6024374747299817,-3.0574712643678197,39.88818119545068,103.85794868099049
FSKULL1995,31.604129602582635,22.5,-5.0,-10.0,64.68616171581908,103.79029131840171
Schwimmii,19.47724130880533,11.25,-5.0,-6.969696969696969,84.94967036688989,103.70721470599825
sasukeskapa,52.87742774191308,11.25,-1.589683577705884,-8.515981735159812,49.660533883298775,103.68229631234615
Lyenda,25.29065970253276,15.0,-5.0,-4.51136363636364,72.47627123008233,103.25556729625146
TheAnimeBingeWatcher,44.06732739582017,11.25,-1.9935454398090258,-2.214076246334301,52.14515735566083,103.25486306533767
MatheusSxF,48.63318848266142,15.0,-2.6024079265220763,-7.017994858611829,49.23640167514575,103.24918737267326
Denji,41.73633721137092,15.0,-0.9825068739926053,-1.0691823899371116,48.44478754806668,103.12943549550789
AdolCrimsonWanderer,38.338903302126205,15.0,-2.858084126928347,-9.58741258741258,62.169871745455566,103.06327833324085
Jr,47.900269295014645,11.25,-0.9814162676901503,-6.522309711286091,51.270834867762446,102.91737818380085
LordBatata,29.182620770103654,15.0,-3.073701842546072,-10.0,71.79729157655025,102.90621050410783
Nato,17.279098003333246,7.5,-5.0,-1.8103448275862206,84.9215068388095,102.89026001455653
Reivyus,24.647141612632883,15.0,-5.0,-2.4561403508771917,70.68841265587321,102.8794139176289
TheSosios,41.21732498843147,26.25,-3.7073546646972915,-10.0,49.04951461182773,102.80948493556191
AdmiralPotato,28.442490011031918,15.0,-5.0,-10.0,74.29299341245142,102.73548342348334
ThomVD,44.56178916611954,18.75,-2.95327795044588,-6.806358381502896,49.045553156161354,102.59770599033212
SunlitSonata,41.73633721137092,18.75,-3.05797857210581,-4.55345911949685,49.57126869499756,102.44616821476583
PINKIPL,50.15337767651069,15.0,-1.4686115305592011,-1.5665024630541922,40.3043504343982,102.4226141172955
Gianlu310,39.63398426321305,11.25,-2.531196249704905,-10.0,64.06621737715129,102.41900539065944
