brettyoshi9,Gintamaº: Aizome Kaori-hen,21588,75,COMPLETED
brettyoshi9,Gintama: Shinyaku Benizakura-hen,7472,80,COMPLETED
brettyoshi9,Gintama.,97889,95,COMPLETED
brettyoshi9,Gintama.: Porori-hen,99714,90,COMPLETED
brettyoshi9,Gintama.: Shirogane no Tamashii-hen,100784,95,COMPLETED
brettyoshi9,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,101925,100,COMPLETED
brettyoshi9,Hyouka,12189,100,COMPLETED
brettyoshi9,TRIGUN,6,70,COMPLETED
brettyoshi9,Fate/Zero 2nd Season,11741,90,COMPLETED
brettyoshi9,Kara no Kyoukai: Satsujin Kousatsu (Zen),3782,75,COMPLETED
brettyoshi9,Kara no Kyoukai: Tsuukaku Zanryuu,3783,80,COMPLETED
brettyoshi9,Kara no Kyoukai: Garan no Dou,4280,75,COMPLETED
brettyoshi9,Kara no Kyoukai: Mujun Rasen,4282,90,COMPLETED
brettyoshi9,Kara no Kyoukai: Boukyaku Rokuon,5204,75,COMPLETED
brettyoshi9,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,101291,60,COMPLETED
brettyoshi9,Ouran Koukou Host Club,853,75,COMPLETED
brettyoshi9,Kara no Kyoukai: Satsujin Kousatsu (Kou),5205,90,COMPLETED
brettyoshi9,Kara no Kyoukai: Shuushou,6954,50,COMPLETED
brettyoshi9,Kara no Kyoukai: Mirai Fukuin,14807,85,COMPLETED
brettyoshi9,Kara no Kyoukai Remix: Gate of seventh heaven,6624,80,COMPLETED
brettyoshi9,Kara no Kyoukai: Mirai Fukuin - extra chorus,20697,65,COMPLETED
brettyoshi9,Kimi no Suizou wo Tabetai,99750,90,COMPLETED
brettyoshi9,3-gatsu no Lion,21366,75,COMPLETED
brettyoshi9,"Lord El-Melloi II-sei no Jikenbo: ""Rail Zeppelin"" Grace note - Hakamori to Neko to Majutsu-shi",106862,65,COMPLETED
brettyoshi9,"Lord El-Melloi II-sei no Jikenbo: ""Rail Zeppelin"" Grace note",106918,70,COMPLETED
brettyoshi9,Charlotte,20997,65,COMPLETED
brettyoshi9,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,98659,75,COMPLETED
brettyoshi9,Danshi Koukousei no Nichijou Specials,12893,55,COMPLETED
brettyoshi9,Kono Subarashii Sekai ni Shukufuku wo!,21202,60,COMPLETED
brettyoshi9,Yahari Ore no Seishun Love Come wa Machigatteiru.,14813,100,COMPLETED
brettyoshi9,"Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku: Kitto, Onnanoko wa Osatou to Spice to Suteki na Nanika de Dekiteiru",21769,75,COMPLETED
brettyoshi9,Hyouka: Motsubeki Mono wa,13469,80,COMPLETED
brettyoshi9,Aldnoah.Zero,20632,70,COMPLETED
brettyoshi9,Re:Zero kara Hajimeru Isekai Seikatsu,21355,80,COMPLETED
brettyoshi9,Yojouhan Shinwa Taikei Specials,8985,45,COMPLETED
brettyoshi9,Princess Principal,98505,70,COMPLETED
brettyoshi9,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,21574,70,COMPLETED
brettyoshi9,Kono Subarashii Sekai ni Shukufuku wo! 2,21699,65,COMPLETED
brettyoshi9,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,97996,55,COMPLETED
brettyoshi9,Dead Leaves,974,30,COMPLETED
brettyoshi9,Golden Kamuy,99699,80,COMPLETED
brettyoshi9,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,104157,40,COMPLETED
brettyoshi9,Juuni Kokuki,153,70,COMPLETED
brettyoshi9,Golden Kamuy 2nd Season,102977,85,COMPLETED
brettyoshi9,Gintama: THE FINAL,114129,100,COMPLETED
brettyoshi9,Metropolis,522,20,COMPLETED
brettyoshi9,FLCL,227,30,COMPLETED
brettyoshi9,Sennen Joyuu,1033,65,COMPLETED
brettyoshi9,GHOST IN THE SHELL: Koukaku Kidoutai,43,60,COMPLETED
brettyoshi9,Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,108489,100,COMPLETED
brettyoshi9,Golden Kamuy OVA,101830,60,COMPLETED
brettyoshi9,Nyoro-n☆Churuya-san,5957,65,COMPLETED
brettyoshi9,Mob Psycho 100,21507,65,COMPLETED
brettyoshi9,K-ON!,5680,90,COMPLETED
brettyoshi9,Koe no Katachi,20954,70,COMPLETED
brettyoshi9,Angel Beats!,6547,75,COMPLETED
brettyoshi9,WHITE ALBUM 2,18245,40,COMPLETED
brettyoshi9,Log Horizon 2,20671,75,COMPLETED
brettyoshi9,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,60,COMPLETED
brettyoshi9,Ookami to Koushinryou,2966,80,COMPLETED
brettyoshi9,RAINBOW: Nisha Rokubou no Shichinin,6114,70,COMPLETED
brettyoshi9,Shoujo Shuumatsu Ryokou,99420,85,COMPLETED
brettyoshi9,Quanzhi Gaoshou,98861,65,COMPLETED
brettyoshi9,Mahouka Koukou no Rettousei,20458,65,COMPLETED
brettyoshi9,Hajimari no Boukensha-tachi: Legend of Crystania,515,40,COMPLETED
brettyoshi9,Shoujo Kakumei Utena,440,65,COMPLETED
brettyoshi9,Harmonie,20501,55,COMPLETED
brettyoshi9,Tetsuwan Birdy DECODE,3974,20,COMPLETED
